Rank,Edge,Label,delta_F*,perturbed_flow
1,(134->136),dispatch_gateway_west->distribution_combiner,17.0,20.0
2,(135->136),dispatch_gateway_east->distribution_combiner,17.0,20.0
3,(128->134),secondary_a->dispatch_gateway_west,4.0,33.0
4,(130->135),secondary_c->dispatch_gateway_east,4.0,33.0
5,(131->134),secondary_d->dispatch_gateway_west,4.0,33.0
6,(133->135),secondary_f->dispatch_gateway_east,4.0,33.0
7,(129->134),secondary_b->dispatch_gateway_west,3.0,34.0
8,(129->135),secondary_b->dispatch_gateway_east,3.0,34.0
9,(132->134),secondary_e->dispatch_gateway_west,3.0,34.0
10,(132->135),secondary_e->dispatch_gateway_east,3.0,34.0
11,(132->140),secondary_e->sink_4,3.0,34.0
12,(130->134),secondary_c->dispatch_gateway_west,2.0,35.0
13,(131->135),secondary_d->dispatch_gateway_east,2.0,35.0
14,(128->135),secondary_a->dispatch_gateway_east,1.0,36.0
15,(133->134),secondary_f->dispatch_gateway_west,1.0,36.0
