source,destination,epanet_link_id,class,length_ft,diameter_in,probability
56,5,20,dummy-connector,99.0,99.0,1.000000
93,3,40,dummy-connector,99.0,99.0,1.000000
4,94,50,dummy-connector,99.0,99.0,1.000000
2,95,60,pipe,1231.0,24.0,0.992799
6,7,101,pipe,14200.0,18.0,0.920010
7,8,103,pipe,1350.0,16.0,0.992105
9,7,105,pipe,2540.0,12.0,0.938023
9,10,107,pipe,1470.0,12.0,0.963649
11,8,109,pipe,3940.0,16.0,0.977133
12,11,111,pipe,2000.0,12.0,0.950869
14,12,112,pipe,1160.0,12.0,0.971203
13,12,113,pipe,1680.0,12.0,0.958565
14,13,114,pipe,2000.0,8.0,0.950869
14,10,115,pipe,1950.0,8.0,0.952068
13,52,116,pipe,1660.0,12.0,0.959048
85,9,117,pipe,2725.0,12.0,0.933662
15,14,119,pipe,2180.0,12.0,0.946568
16,17,120,pipe,730.0,12.0,0.981780
17,15,121,pipe,1870.0,12.0,0.953988
18,17,122,pipe,2050.0,8.0,0.949672
18,16,123,pipe,2000.0,30.0,0.999243
19,18,125,pipe,1500.0,30.0,0.999432
18,20,129,pipe,930.0,24.0,0.994555
20,21,131,pipe,3240.0,24.0,0.981157
21,56,133,pipe,785.0,20.0,0.995402
21,22,135,pipe,900.0,24.0,0.994730
22,23,137,pipe,6480.0,16.0,0.962669
22,24,145,pipe,2750.0,8.0,0.933074
24,25,147,pipe,2050.0,8.0,0.949672
25,26,149,pipe,1400.0,8.0,0.965349
26,30,151,pipe,1650.0,8.0,0.959289
27,25,153,pipe,3510.0,12.0,0.915381
28,27,155,pipe,2200.0,12.0,0.946091
29,28,159,pipe,880.0,12.0,0.978077
31,29,161,pipe,1020.0,8.0,0.974634
32,31,163,pipe,1170.0,12.0,0.970958
20,32,169,pipe,4560.0,8.0,0.891488
16,31,171,pipe,3460.0,12.0,0.916535
16,33,173,pipe,2080.0,30.0,0.999212
33,34,175,pipe,2910.0,30.0,0.998898
34,35,177,pipe,2000.0,30.0,0.999243
35,36,179,pipe,430.0,30.0,0.999837
36,37,180,pipe,150.0,14.0,0.999120
37,38,181,pipe,490.0,14.0,0.997127
86,40,183,pipe,590.0,30.0,0.999777
40,39,185,pipe,60.0,8.0,0.998490
49,59,186,pipe,99.9,8.0,0.997487
40,41,187,pipe,1270.0,30.0,0.999519
41,42,189,pipe,50.0,30.0,0.999981
41,89,191,pipe,760.0,24.0,0.995548
45,92,193,pipe,30.0,24.0,0.999824
45,43,195,pipe,30.0,12.0,0.999245
43,44,197,pipe,30.0,12.0,0.999245
46,44,199,pipe,210.0,12.0,0.994724
44,93,201,pipe,1190.0,12.0,0.970469
48,47,202,pipe,99.9,8.0,0.997487
46,48,203,pipe,510.0,8.0,0.987236
47,60,204,pipe,4530.0,12.0,0.892162
59,48,205,pipe,1325.0,12.0,0.967175
50,46,207,pipe,1350.0,12.0,0.966566
50,49,209,pipe,500.0,8.0,0.987484
40,88,211,pipe,646.0,12.0,0.983859
51,49,213,pipe,2560.0,12.0,0.937550
87,50,215,pipe,1230.0,12.0,0.969492
52,51,217,pipe,520.0,12.0,0.986987
53,52,219,pipe,360.0,12.0,0.990973
35,53,221,pipe,2300.0,8.0,0.943711
54,51,223,pipe,1150.0,12.0,0.971448
12,54,225,pipe,2790.0,12.0,0.932134
42,55,229,pipe,4000.0,24.0,0.976789
55,57,231,pipe,630.0,24.0,0.996308
57,58,233,pipe,120.0,24.0,0.999296
55,90,235,pipe,725.0,12.0,0.981903
60,62,237,pipe,1200.0,12.0,0.970225
62,61,238,pipe,450.0,12.0,0.988729
91,62,239,pipe,1430.0,12.0,0.964620
61,63,240,pipe,510.0,12.0,0.987236
63,64,241,pipe,885.0,12.0,0.977954
64,65,243,pipe,1210.0,16.0,0.992921
65,66,245,pipe,990.0,16.0,0.994204
66,67,247,pipe,4285.0,16.0,0.975156
67,68,249,pipe,1660.0,16.0,0.990301
68,69,251,pipe,2050.0,14.0,0.988036
68,70,257,pipe,1560.0,12.0,0.961467
66,71,261,pipe,2200.0,8.0,0.946091
71,72,263,pipe,1960.0,12.0,0.951828
65,73,269,pipe,2080.0,12.0,0.948955
73,71,271,pipe,790.0,8.0,0.980297
73,74,273,pipe,510.0,12.0,0.987236
74,75,275,pipe,35.0,12.0,0.999119
75,76,277,pipe,2200.0,12.0,0.946091
75,77,281,pipe,445.0,10.0,0.988853
74,78,283,pipe,430.0,12.0,0.989227
78,77,285,pipe,10.0,12.0,0.999748
81,77,287,pipe,1390.0,10.0,0.965593
94,81,289,pipe,925.0,10.0,0.976969
81,80,291,pipe,1100.0,10.0,0.972672
81,79,293,pipe,1100.0,8.0,0.972672
78,79,295,pipe,1450.0,12.0,0.964134
17,82,297,pipe,645.0,8.0,0.983884
82,83,299,pipe,350.0,8.0,0.991222
83,85,301,pipe,1400.0,8.0,0.965349
82,84,303,pipe,1400.0,8.0,0.965349
15,84,305,pipe,645.0,12.0,0.983884
84,85,307,pipe,350.0,12.0,0.991222
86,87,309,pipe,1580.0,8.0,0.960982
87,52,311,pipe,1170.0,12.0,0.970958
88,50,313,pipe,646.0,12.0,0.983859
89,45,315,pipe,260.0,24.0,0.998475
90,91,317,pipe,2230.0,8.0,0.945376
90,60,319,pipe,645.0,12.0,0.983884
36,86,321,pipe,1200.0,30.0,0.999546
57,91,323,pipe,300.0,12.0,0.992472
88,89,325,pipe,1290.0,8.0,0.968028
97,19,329,pipe,45500.0,30.0,0.982913
95,96,330,pipe,1.0,30.0,1.000000
97,96,333,pipe,1.0,30.0,1.000000
1,6,10,pump,,,0.990000
95,97,335,pump,,,0.990000
