int_id,epanet_id,role,bfs_level
1,1,tank,0
2,10,junction,1
3,101,junction,2
4,103,junction,3
5,105,junction,3
6,107,junction,4
7,109,junction,4
8,111,junction,5
9,113,junction,6
10,115,junction,5
11,117,junction,6
12,119,junction,5
13,120,junction,5
14,121,junction,4
15,123,junction,3
16,125,junction,3
17,127,junction,2
18,129,junction,3
19,131,junction,4
20,139,junction,4
21,141,junction,5
22,143,junction,6
23,145,junction,6
24,147,junction,7
25,149,junction,6
26,15,junction,7
27,151,junction,5
28,153,junction,4
29,157,junction,6
30,159,junction,7
31,161,junction,8
32,163,junction,7
33,164,junction,8
34,166,junction,9
35,167,junction,7
36,169,junction,6
37,171,junction,6
38,173,junction,7
39,177,junction,3
40,179,junction,2
41,181,junction,4
42,183,junction,3
43,184,junction,5
44,185,junction,4
45,187,junction,5
46,189,junction,4
47,191,junction,6
48,193,junction,6
49,195,junction,7
50,197,junction,6
51,199,junction,8
52,2,tank,0
53,20,junction,1
54,201,junction,9
55,203,junction,10
56,204,junction,5
57,205,junction,6
58,206,junction,8
59,207,junction,7
60,208,junction,9
61,209,junction,8
62,211,junction,7
63,213,junction,8
64,215,junction,9
65,217,junction,10
66,219,junction,11
67,225,junction,11
68,229,junction,7
69,231,junction,8
70,237,junction,6
71,239,junction,5
72,241,junction,4
73,243,junction,5
74,247,junction,3
75,249,junction,4
76,251,junction,3
77,253,junction,3
78,255,junction,2
79,257,junction,6
80,259,junction,5
81,261,junction,5
82,263,junction,4
83,265,junction,6
84,267,junction,5
85,269,junction,5
86,271,junction,5
87,273,junction,7
88,275,junction,8
89,3,tank,0
90,35,junction,5
91,40,junction,1
92,50,junction,1
93,60,junction,1
94,601,junction,2
95,61,junction,2
96,Lake,reservoir,0
97,River,reservoir,0
