name,V,E,worst_delta,old_worst_delta
random_n10_p01_s1,24,14,1.110223e-16,2.776000e-17
random_n10_p01_s2,22,12,1.110223e-16,2.776000e-17
random_n10_p01_s3,24,14,2.220446e-16,2.776000e-17
random_n10_p01_s4,24,14,1.110223e-16,5.551000e-17
random_n10_p01_s5,25,15,2.220446e-16,5.551000e-17
random_n10_p01_s6,23,13,2.220446e-16,5.551000e-17
random_n10_p01_s7,24,14,2.220446e-16,2.776000e-17
random_n10_p01_s8,23,13,1.110223e-16,5.551000e-17
random_n10_p015_s1,24,14,1.110223e-16,5.551000e-17
random_n10_p015_s2,22,12,0.000000e+00,5.551000e-17
random_n10_p015_s3,26,16,1.110223e-16,5.551000e-17
random_n10_p015_s4,24,14,1.110223e-16,5.551000e-17
random_n10_p015_s5,23,13,1.110223e-16,2.776000e-17
random_n10_p015_s6,25,15,1.110223e-16,2.776000e-17
random_n10_p015_s7,24,14,2.220446e-16,2.776000e-17
random_n10_p015_s8,24,14,1.110223e-16,5.551000e-17
random_n10_p02_s1,24,14,1.110223e-16,5.551000e-17
random_n10_p02_s2,23,13,2.220446e-16,1.388000e-17
random_n10_p02_s3,28,18,1.110223e-16,5.551000e-17
random_n10_p02_s4,24,14,2.220446e-16,2.776000e-17
random_n10_p02_s5,23,13,1.110223e-16,2.776000e-17
random_n10_p02_s6,25,15,1.110223e-16,5.551000e-17
random_n10_p02_s7,24,14,1.110223e-16,5.551000e-17
random_n10_p02_s8,25,15,2.220446e-16,5.551000e-17
random_n12_p01_s1,28,16,1.110223e-16,2.776000e-17
random_n12_p01_s2,27,15,0.000000e+00,5.551000e-17
random_n12_p01_s3,31,19,1.110223e-16,1.388000e-17
random_n12_p01_s4,29,17,1.110223e-16,5.551000e-17
random_n12_p01_s5,29,17,1.110223e-16,8.327000e-17
random_n12_p01_s6,31,19,1.110223e-16,2.776000e-17
random_n12_p01_s7,31,19,2.220446e-16,5.551000e-17
random_n12_p01_s8,29,17,2.220446e-16,2.776000e-17
random_n12_p015_s1,30,18,1.110223e-16,4.163000e-17
random_n12_p015_s2,30,18,1.110223e-16,2.082000e-17
random_n12_p015_s3,34,22,2.220446e-16,1.388000e-17
random_n12_p015_s4,29,17,1.110223e-16,5.551000e-17
random_n12_p015_s5,30,18,1.110223e-16,5.551000e-17
random_n12_p015_s6,34,22,2.220446e-16,5.551000e-17
random_n12_p015_s7,31,19,2.220446e-16,5.551000e-17
random_n12_p015_s8,31,19,2.220446e-16,2.776000e-17
random_n12_p02_s1,32,20,1.110223e-16,2.776000e-17
